Product,Model,Features,Package,Frequency,Tolerance,Stability,Temp,Stock,Load,Capacitance,Overtone,StockDue,More
LFXTAL017139Bulk,12SMX,0.00,0.00,28.224000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL017139Reel,12SMX,0.00,0.00,28.224000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL017360Bulk,12SMX,0.00,0.00,10.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL017880Reel,12SMX,0.00,0.00,22.118400,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL017993Bulk,12SMX,0.00,0.00,14.745600,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL018105Bulk,12SMX,0.00,0.00,28.224000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL018105Cutt,12SMX,0.00,0.00,28.224000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL018105Reel,12SMX,0.00,0.00,28.224000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL018211Reel,12SMX,0.00,0.00,24.576000,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL018365Reel,12SMX,0.00,0.00,14.745600,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL018412Bulk,12SMX,0.00,0.00,27.000000,30.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL018412Cutt,12SMX,0.00,0.00,27.000000,30.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL018412Reel,12SMX,0.00,0.00,27.000000,30.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL018474Reel,12SMX,0.00,0.00,20.000000,50.00,100.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL018638Reel,12SMX,0.00,0.00,15.360000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL018641Reel,12SMX,0.00,0.00,15.360000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL018725Reel,12SMX,0.00,0.00,12.288000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL018742Reel,12SMX,0.00,0.00,11.059200,50.00,100.00,0.00,50.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL018827Bulk,12SMX,0.00,0.00,11.059200,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL018900Reel,12SMX,0.00,0.00,9.830400,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL019077Bulk,12SMX,0.00,0.00,13.560000,50.00,100.00,0.00,50.00,12.00,FUND,True,9 Weeks,12SMX
LFXTAL019077Reel,12SMX,0.00,0.00,13.560000,50.00,100.00,0.00,50.00,12.00,FUND,True,9 Weeks,12SMX
LFXTAL019079Bulk,12SMX,0.00,0.00,13.560000,50.00,100.00,-10.00,60.00,12.00,FUND,True,9 Weeks,12SMX
LFXTAL019079Reel,12SMX,0.00,0.00,13.560000,50.00,100.00,-10.00,60.00,12.00,FUND,True,9 Weeks,12SMX
LFXTAL019153Cutt,12SMX,0.00,0.00,20.000000,50.00,50.00,-10.00,60.00,15.00,FUND,True,9 Weeks,12SMX
LFXTAL019153Reel,12SMX,0.00,0.00,20.000000,50.00,50.00,-10.00,60.00,15.00,FUND,True,9 Weeks,12SMX
LFXTAL019159Bulk,12SMX,0.00,0.00,13.560000,50.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL019159Reel,12SMX,0.00,0.00,13.560000,50.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL019622Bulk,12SMX,0.00,0.00,13.824000,30.00,30.00,-10.00,60.00,12.00,FUND,True,9 Weeks,12SMX
LFXTAL019622Cutt,12SMX,0.00,0.00,13.824000,30.00,30.00,-10.00,60.00,12.00,FUND,True,9 Weeks,12SMX
LFXTAL019622Reel,12SMX,0.00,0.00,13.824000,30.00,30.00,-10.00,60.00,12.00,FUND,True,9 Weeks,12SMX
LFXTAL019658Bulk,12SMX,0.00,0.00,15.360000,50.00,50.00,-20.00,70.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL019658Cutt,12SMX,0.00,0.00,15.360000,50.00,50.00,-20.00,70.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL019658Reel,12SMX,0.00,0.00,15.360000,50.00,50.00,-20.00,70.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL019665Reel,12SMX,0.00,0.00,10.000000,50.00,100.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL019667Reel,12SMX,0.00,0.00,32.000000,50.00,100.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL020125Reel,12SMX,0.00,0.00,12.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL020140Bulk,12SMX,0.00,0.00,16.000000,50.00,100.00,-10.00,60.00,SR,FUND,True,9 Weeks,12SMX
LFXTAL020300Cutt,12SMX,0.00,0.00,12.000000,20.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL020300Reel,12SMX,0.00,0.00,12.000000,20.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL020301Cutt,12SMX,0.00,0.00,10.000000,20.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL020301Reel,12SMX,0.00,0.00,10.000000,20.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL020330Reel,12SMX,0.00,0.00,24.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL020344Bulk,12SMX,0.00,0.00,9.216000,30.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
